platform,stratum,contracts,platform_contract_share,threshold_flag_share,mean_determinacy,mean_text_words,families,top_five_family_share,between_family_variance_share,varying_families,contracts_in_varying_families,source_specificity,temporal_specificity,outcome_definition,edge_completeness,discretion_clarity
Kalshi,all,12251,1.0,0.8211574565341605,0.6236197861399069,100.46526814137621,120,0.4617582238184638,0.9575461403378203,48,6443,0.5501591706799445,0.6191861888825401,0.6784180883193209,0.2730291404783283,0.9973063423394009
Kalshi,no_threshold_flag,2191,0.17884254346583953,0.0,0.548330442720219,112.02555910543131,90,0.5111821086261981,0.9722288053243604,27,992,0.5146052031036057,0.610109539023277,0.2128480146052031,0.41915107256960293,0.9849383842994066
Kalshi,threshold_flag,10060,0.8211574565341605,1.0,0.6400172962226641,97.94751491053678,35,0.5623260437375746,0.946674611160417,20,5407,0.5579025844930418,0.6211630218687872,0.7798161033797217,0.24120477137176938,1.0
Polymarket,all,7249,1.0,0.23658435646296042,0.6101274658573597,157.78810870464892,2634,0.02552076148434267,0.9912911377582638,145,1048,0.5183128707407918,0.8118912953510828,0.5007228583252862,0.4087018899158505,0.8110084149537867
Polymarket,no_threshold_flag,5534,0.7634156435370396,0.0,0.5747444886158294,162.99638597759306,1911,0.03342970726418504,0.9915806818706604,72,622,0.4692356342609324,0.8377213588724252,0.39218286953379106,0.40705457173834475,0.7675280086736538
Polymarket,threshold_flag,1715,0.23658435646296042,1.0,0.7243020408163265,140.98192419825074,781,0.04664723032069971,0.9899450762890604,23,100,0.6766763848396501,0.7285422740524781,0.8509620991253645,0.4140174927113702,0.9513119533527696
